अंक	ə ŋ k
अंकन	ə ŋ k ə n
अंकल	ə ŋ k ə l
अंकित	ə ŋ k ɪ t̪
अंकुर	ə ŋ k ʊ ɾ
अंकुरित	ə ŋ k ʊ ɾ ɪ t̪
अंकुश	ə ŋ k ʊ ʃ
अंग	ə ŋ ɡ
अंगड़ाई	ə ŋ ɡ ɽ ɑː iː
अंगहीन	ə ŋ ɡʱ iː n
अंगुली	ə ŋ ɡ ʊ l iː
अंगूठा	ə ŋ ɡ uː ʈʰ ɑː
अंगूर	ə ŋ ɡ uː ɾ
अंगोला	ə ŋ ɡ oː l ɑː
अंग्रेज़	ə ŋ ɡ ɾ eː z
अंग्रेज़ी	ə ŋ ɡ ɾ eː z iː
अंग्रेजी	ə ŋ ɡ ɾ eː d͡ʒ iː
अंचल	ə ɲ t͡ʃ ə l
अंजाम	ə ɲ d͡ʒ ɑː m
अंजु	ə ɲ d͡ʒ uː
अंडा	ə n ɖ ɑː
अंतर्गत	ə n t̪ ə ɾ ɡ ə t̪
अंतर्निहित	ə n t̪ ə ɾ n ɪ ɦ ɪ t̪
अंतर्राष्ट्रीय	ə n t̪ ə ɾ ɾ ɑː ʃ ʈ ɾ iː j
अंतिम	ə n t̪ ɪ m
अंत्येष्टि	ə n t̪ j eː ʃ ʈ iː
अंदर	ə n d̪ ə ɾ
अंदाज़	ə n̪ d̪ a z
अंधड़	ə n d̪ʱ ə ɽ
अंधविश्वास	ə n d̪ʱ ʋ ɪ ʃ ʋ ɑː s
अंधाधुंध	ə n d̪ʱ ɑː d̪ʱ ʊ n d̪ʱ
अंधेरा	ə n d̪ʱ eː ɾ ɑː
अंबर	ə m b ə ɾ
अंश	ə n ʃ
अंशकालिक	ə n ʃ k ɑː l ɪ k
अए	ə eː
अकड़	ə k ə ɽ
अकर्मण्यता	ə k ə ɾ m ə n j ə t̪ ɑː
अकादमिक	ə k ɑː d̪ m ɪ k
अकादमी	ə k ɑː d̪ m iː
अकारण	ə k ɑː ɾ ə n
अकाल	ə k ɑː l
अकूत	ə k uː t̪
अकेला	ə k eː l ɑː
अकेलापन	ə k eː l ɑː p ə n
अक्षत	ə k ʃ ə t̪
अक्सर	ə k s ə ɾ
अखंड	ə kʰ ə ɳ ɖ
अखंडता	ə kʰ ə n ɖ t̪ ɑː
अखाड़ा	ə kʰ ɑː ɽ ɑː
अखिल	ə kʰ ɪ l
अगर	ə ɡ ə ɾ
अगरतला	ə ɡ ə ɾ t̪ ə l ɑː
अगरबत्ती	ə ɡ ə ɾ b ə t̪ t̪ iː
अगवानी	ə ɡ ʋ ɑː n iː
अगस्त	ə ɡ ə s t̪
अगुआ	ə ɡ ʊ ɑː
अग्नि	ə ɡ n iː
अग्निपरीक्षा	ə ɡ n ɪ p ə ɾ iː k ʃ ɑː
अग्रिम	ə ɡ ɾ ɪ m
अचरज	ə t͡ʃ ɾ ə d͡ʒ
अचानक	ə t͡ʃ ɑː n ə k
अचूक	ə t͡ʃ uː k
अछूता	ə t͡ʃʰ uː t̪ ɑː
अजब	ə d͡ʒ ə b
अजमेर	ə d͡ʒ m eː ɾ
अजान	ə d͡ʒ ɑː n
अजीब	ə d͡ʒ iː b
अजूबा	ə d͡ʒ uː b ɑː
अजेंडा	ə d͡ʒ eː n ɖ ɑː
अज्ञात	ə ɡ j aː t̪
अटक	ə ʈ ə k
अटपटा	ə ʈ p ə ʈ ɑː
अटल	ə ʈ ə l
अटारी	ə ʈ ɑː ɾ iː
अटूट	ə ʈ uː ʈ
अटैची	ə ʈ ɛː t͡ʃ iː
अट्ठानवे	ə ʈ ʈʰ ɑː n ʋ eː
अठन्नी	ə ʈʰ ə n n iː
अठारह	ə ʈʰ ɑː ɾ əʱ
अड़चन	ə ɽ t͡ʃ ə n
अड़तालीस	ə ɽ t̪ ɑː l iː s
अड़ना	ə ɽ n ɑː
अड़ियल	ə ɽ iː j ə l
अणु	ə n uː
अतः	ə t̪ əʰ
अति	ə t̪ iː
अतिवाद	ə t̪ ɪ ʋ ɑː d̪
अतिवादी	ə t̪ ɪ ʋ ɑː d̪ iː
