adda	a tː a
af	aː v
afar	aː v a r
afgangur	a v k a u ŋ k ʏ r
afgreiða	a v k r e iː ð a
afgreiðsla	a v k r e i ð s t l a
afi	aː v ɪ
afkomandi	a v kʰ ɔː m a n t ɪ
afla	a p l a
afleiðing	a v l e iː ð i ŋ k
afli	a p l ɪ
afmælisgjöf	a v m a iː l ɪ s c œː v
afrit	a v r ɪː t
afsaka	a f s aː k a
afsláttur	a f s t l a u h t ʏ r
afsökun	a f s œː k ʏ n
afturelding	a f t ʏ r ɛ l t i ŋ k
afturhald	a f t ʏ r h a l t
aggi	a cː ɪ
aka	aː k a
akkeri	a h k ɛː r ɪ
akrein	aː k r e iː n
ala	aː l a
alaskaösp	aː l a s k a œ s p
alba	a l p a
alda	a l t a
aldeilis	a l t e iː l ɪ s
aldin	a l t ɪ n
aldrei	a l t r e iː
aldís	a l t iː s
alexander	aː l ɛ k s a n t ɛː r
algerlega	a l c ɛ r l ɛː ɣ a
algjörlega	a l c œ r l ɛː ɣ a
alin	aː l ɪ n
alli	a t l ɪ
alls	a l s
almennilegur	a l m ɛ nː ɪ l ɛː ɣ ʏ r
almennur	a l m ɛ nː ʏ r
altari	a l̥ t a r ɪ
alvarlega	a l v a r l ɛː ɣ a
alvarlegur	a l v a r l ɛː ɣ ʏ r
alvitur	a l v ɪː t ʏ r
alúðlega	aː l u ð l ɛː ɣ a
amerískur	aː m ɛː r i s k ʏ r
amma	a mː a
ananas	aː n aː n a s
anda	a n t a
andarungi	a n t a r u ɲ c ɪ
anddyri	a n t t ɪː r ɪ
andersen	a n t ɛ r s ɛ nː
andfélagslega	a n t f j ɛː l a x s l ɛː ɣ a
andi	a n t ɪ
andlát	a n t l a uː t
andri	a n t r ɪ
andstyggilega	a n t s t ɪ cː ɪ l ɛː ɣ a
andstæður	a n t s t a i ð ʏ r
andvaka	a n t v aː k a
andvari	a n t v aː r ɪ
andvarp	a n t v a r̥ p
andúð	a n t uː ð
anga	a u ŋ k a
angi	a u ɲ c ɪ
anna	a nː a
annar	a nː a r
annars	a nː a r̥ s
ansi	a n s ɪ
apa	aː p a
api	aː p ɪ
app	a h p
appelsínugulur	a h p ɛ l s iː n ʏ k ʏː l ʏ r
apótekari	aː p o uː tʰ ɛː k aː r ɪ
ara	aː r a
arabískur	aː r a p i s k ʏ r
aragrúi	aː r a k r uː ɪ
arfi	a r v ɪ
ari	aː r ɪ
aristóteles	aː r ɪ s t o uː tʰ ɛː l ɛː s
arkitekt	a r̥ c ɪ tʰ ɛ x t
armband	a r m p a n t
armbandsúr	a r m p a n t s uː r
armur	a r m ʏ r
arnar	a r t n aː r
arndís	a r t n t iː s
arnheiður	a r t n h e iː ð ʏ r
arnór	a r t n o uː r
arnþrúður	a r t n θ r uː ð ʏ r
aron	aː r ɔː n
arsen	a r̥ s ɛ n
arður	a r ð ʏ r
as	aː s
aska	a s k a
asni	a s t n ɪ
aspas	a s p a s
at	aː t
ata	aː t a
atburður	aː t p ʏ r ð ʏ r
atferli	aː t f ɛ r t l ɪ
atgervi	aː t c ɛ r v ɪ
athuga	aː t h ʏː ɣ a
athugasemd	aː t h ʏː ɣ a s ɛ m t
athygli	aː t h ɪ k l ɪ
athæfi	aː t h a iː v ɪ
athöfn	aː t h œ p n
atriði	aː t r ɪː ð ɪ
atvik	aː t v ɪː k
atvinna	aː t v ɪ nː a
atvinnumaður	aː t v ɪ nː ʏ m aː ð ʏ r
auga	ø yː ɣ a
augabrún	ø yː ɣ a p r uː n
augljós	ø y ɣ l j o uː s
augljóslega	ø y ɣ l j o uː s l ɛː ɣ a
auglýsa	ø y ɣ l iː s a
augnablik	ø y k n a p l ɪː k
augnhár	ø y k n h a uː r
augnlok	ø y k n l ɔː k
auka	ø yː k a
auki	ø yː c ɪ
aukning	ø y h k n i ŋ k
auli	ø yː l ɪ
aumingi	ø yː m i ɲ c ɪ
aur	ø yː r
ausa	ø yː s a
austur	ø y s t ʏ r
austurríki	ø y s t ʏ r r iː c ɪ
auðmýking	ø y ð m iː c i ŋ k
auðmýkt	ø y ð m i x t
auðna	ø y ð n a
auður	ø yː ð ʏ r
auðvelda	ø y ð v ɛ l t a
auðveldur	ø y ð v ɛ l t ʏ r
auðæfi	ø yː ð a iː v ɪ
axlabönd	a x s t l a p œ n t
aðalatriði	aː ð a l aː t r ɪː ð ɪ
aðalbraut	aː ð a l p r ø yː t
aðallega	aː ð a l l ɛː ɣ a
aðdráttarafl	a ð t r a u h t a r a p l
aðdróttun	a ð t r o u h t ʏ n
aðdáun	a ð t a uː ʏ n
aðeins	aː ð e i n s
aðfaranótt	a ð f aː r a n o u h t
aðferð	a ð f ɛ r ð
aðgangur	a ð k a u ŋ k ʏ r
aðgerð	a ð c ɛ r ð
aðgerðaáætlun	a ð c ɛ r ð aː u a i t l ʏ n
aðgætni	a ð c a i h t n ɪ
aðild	aː ð ɪ l t
aðili	aː ð ɪː l ɪ
aðlaðandi	a ð l aː ð a n t ɪ
aðstoð	a ð s t ɔː ð
aðstoðarforstjóri	a ð s t ɔː ð a r f ɔ r̥ s t j o uː r ɪ
aðstæður	a ð s t a iː ð ʏ r
aðsókn	a ð s o u h k n
aðvörun	a ð v œː r ʏ n
aþena	aː θ ɛː n a
baggi	p a cː ɪ
bak	p aː k
baka	p aː k a
bakka	p a h k a
bakpoki	p aː k pʰ ɔː c ɪ
bakstur	p a x s t ʏ r
bakuggi	p aː k ʏ cː ɪ
bakvörður	p aː k v œ r ð ʏ r
baldur	p a l t ʏ r
bali	p aː l ɪ
ball	p a lː
bambus	p a m p ʏ s
bana	p aː n a
bandalag	p a n t a l aː ɣ
banka	p a u ŋ̊ k a
banki	p a u ɲ̊ c ɪ
bann	p a nː
banna	p a nː a
bar	p aː r
bardagi	p a r t aː j ɪ
barna	p a r t n a
barnalæknir	p a r t n a l a i h k n ɪ r
barrtré	p a rː t r j ɛː
barón	p aː r o uː n
basl	p a s t l
basla	p a s t l a
bassi	p a sː ɪ
bati	p aː t ɪ
baugur	p ø yː ɣ ʏ r
bauk	p ø yː k
baul	p ø yː l
baula	p ø yː l a
baun	p ø yː n
baðherbergi	p aː ð h ɛ r p ɛ r c ɪ
baðkar	p a ð kʰ aː r
beikon	p e iː kʰ ɔ n
bein	p e iː n
beina	p e iː n a
beinn	p e i t n
beisla	p e i s t l a
beisli	p e i s t l ɪ
beita	p e iː t a
beiti	p e iː t ɪ
beitiland	p e iː t ɪ l a n t
beittur	p e i h t ʏ r
beiðni	p e i ð n ɪ
bekkur	p ɛ h k ʏ r
belgía	p ɛ l c i j a
benda	p ɛ n t a
bendir	p ɛ n t ɪ r
benedikt	p ɛː n ɛː t ɪ x t
benjamín	p ɛ n j a m iː n
bensín	p ɛ n s iː n
ber	p ɛː r
bergmann	p ɛ r k m a nː
berlín	p ɛ r l iː n
bernhöft	p ɛ r n h œ f t
beygja	p e iː j a
beð	p ɛː ð
biblía	p ɪ p l iː j a
bifreið	p ɪ v r e iː ð
bikar	p ɪː k a r
bil	p ɪː l
bilun	p ɪː l ʏ n
bindi	p ɪ n t ɪ
birgir	p ɪ r c ɪ r
birgja	p ɪ r c a
birki	p ɪ r̥ c ɪ
birkitré	p ɪ r̥ c ɪ t r j ɛː
birta	p ɪ r̥ t a
biskup	p ɪ s k ʏ p
biti	p ɪː t ɪ
bið	p ɪː ð
biðill	p ɪː ð ɪ t l
biðja	p ɪ ð j a
biðlari	p ɪ ð l aː r ɪ
biðröð	p ɪ ð r œː ð
bjarga	p j a r k a
bjarndís	p j a r t n t iː s
bjartsýni	p j a r̥ t s iː n ɪ
bjartsýnn	p j a r̥ t s i t n
bjartur	p j a r̥ t ʏ r
bjálki	p j a u l̥ k ɪ
bjáni	p j a uː n ɪ
bjó	p j o uː
bjóst	p j o uː s t
bjóða	p j o uː ð a
bjöggi	p j œ cː ɪ
björg	p j œ r k
björgvin	p j œ r k v ɪ n
björk	p j œ r̥ k
björt	p j œ r̥ t
bjúgur	p j uː ʏ r
blak	p l aː k
bland	p l a n t
blanda	p l a n t a
blautur	p l ø yː t ʏ r
blað	p l aː ð
blaðra	p l a ð r a
blekking	p l ɛ h k i ŋ k
blekkja	p l ɛ h c a
blessa	p l ɛ sː a
blessun	p l ɛ sː ʏ n
blettur	p l ɛ h t ʏ r
blik	p l ɪː k
blika	p l ɪː k a
blinda	p l ɪ n t a
blindhæð	p l ɪ n t h a iː ð
bljúgur	p l j uː ʏ r
blogg	p l ɔ kː
bloggari	p l ɔ kː a r ɪ
blá	p l a uː
bláber	p l a uː p ɛː r
blágreni	p l a uː k r ɛː n ɪ
blár	p l a uː r
blása	p l a uː s a
blástur	p l a u s t ʏ r
blær	p l a i̯ː r
blæösp	p l a iː œ s p
blíður	p l iː ð ʏ r
blóm	p l o uː m
blómstra	p l o u m s t r a
blóð	p l o uː ð
blóðnasir	p l o u ð n aː s ɪ r
blóðþrýstingur	p l o u ð θ r i s t i ŋ k ʏ r
blöndal	p l œ n t aː l
blússa	p l u sː a
bogga	p ɔ kː a
boli	p ɔː l ɪ
bolli	p ɔ t l ɪ
bolludagur	p ɔ lː ʏ t aː ɣ ʏ r
bolur	p ɔː l ʏ r
bora	p ɔː r a
borg	p ɔ r k
borgari	p ɔ r k aː r ɪ
borgarstjóri	p ɔ r k a r s t j o uː r ɪ
borð	p ɔ r ð
borða	p ɔ r ð a
borði	b ɔ r ð ɪ
borðstofa	p ɔ r ð s t ɔː v a
borðtennis	p ɔ r ð tʰ ɛ nː ɪ s
botn	p ɔ h t n
botna	p ɔ h t n a
boð	p ɔː ð
boða	p ɔː ð a
boðorð	p ɔː ð ɔ r ð
boðskapur	p ɔ ð s k aː p ʏ r
braggi	p r a cː ɪ
bragur	p r aː ɣ ʏ r
bragð	p r a ɣ ð
brak	p r aː k
brandur	p r a n t ʏ r
bras	p r aː s
brasilía	p r aː s ɪ l iː j a
brass	p r a sː
braut	p r ø yː t
brautargengi	p r ø yː t a r c e i ɲ c ɪ
brautryðjandi	p r ø yː t r ɪ ð j a n t ɪ
brauð	p r ø yː ð
bregða	p r ɛ ɣ ð a
breidd	p r e i tː
breiða	p r e iː ð a
breiður	p r e iː ð ʏ r
breiðþota	p r e i ð θ ɔː t a
breki	p r ɛː c ɪ
brekka	p r ɛ h k a
brenna	p r ɛ nː a
brennisteinn	p r ɛ nː ɪ s t e i t n
brennivín	p r ɛ nː ɪ v iː n
breskur	p r ɛ s k ʏ r
bresta	p r ɛ s t a
brestur	p r ɛ s t ʏ r
breti	p r ɛː t ɪ
bretland	p r ɛː t l a n t
bretti	p r ɛ h t ɪ
breytilegur	p r e iː t ɪ l ɛː ɣ ʏ r
breyting	p r e iː t i ŋ k
breytni	p r e i h t n ɪ
briem	p r iː m
brjálæði	p r j a uː l a iː ð ɪ
brjóst	p r j o u s t
brjóstsviði	p r j o u s t s v ɪː ð ɪ
brjóta	p r j o uː t a
brokk	p r ɔ h k
brons	p r ɔ n s
bros	p r ɔː s
brot	p r ɔː t
brottfall	p r ɔ h t f a t l
brottför	p r ɔ h t f œː r
brottvísun	p r ɔ h t v iː s ʏ n
brum	p r ʏː m
brussel	p r ʏ sː ɛ l
bruðl	p r ʏ ð l
bryggja	p r ɪ cː a
brynja	p r ɪ n j a
brynjólfur	p r ɪ n j o u l v ʏ r
bryti	p r ɪː t ɪ
bryðja	p r ɪ ð j a
brátt	p r a u h t
bráð	p r a uː ð
bráðna	p r a u ð n a
bráður	p r a uː ð ʏ r
bræða	p r a iː ð a
bræði	p r a iː ð ɪ
bræðsla	p r a i ð s t l a
bréf	p r j ɛː v
bróðir	p r o uː ð ɪ r
bróðursonur	p r o uː ð ʏ r̥ s ɔː n ʏ r
brú	p r uː
brún	p r uː n
brúnn	p r u t n
brúðkaup	p r u ð kʰ ø yː p
brúður	p r uː ð ʏ r
bumba	p ʏ m p a
bunga	p u ŋ k a
burkni	p ʏ r̥ k n ɪ
burnirót	p ʏ r t n ɪ r o uː t
bursta	p ʏ r̥ s t a
butur	p ʏː t ʏ r
buxur	p ʏ x s ʏ r
bygging	p ɪ cː i ŋ k
byggð	p ɪ ɣ ð
bylgjulengd	p ɪ l c ʏ l e i ŋ k t
bylting	p ɪ l̥ t i ŋ k
bylur	p ɪː l ʏ r
byrgja	p ɪ r c a
byrja	p ɪ r j a
byrði	p ɪ r ð ɪ
byssa	p ɪ sː a
bál	p a uː l
bárður	p a u r ð ʏ r
bátur	p a uː t ʏ r
bæ	p a iː
bæjar	p a iː j a r̥
bæjarstjóri	p a iː j a r s t j o uː r ɪ
bæklingur	p a i h k l i ŋ k ʏ r
bæla	p a iː l a
bæli	p a iː l ɪ
bæn	p a iː n
bær	p a iː r
bæta	p a iː t a
bæti	p a iː t ɪ
bé	p j ɛː
bílskúr	p i l s k uː r
bílstjóri	p i l s t j o uː r ɪ
bíta	p iː t a
bíða	p iː ð a
bóg	p o uː
bók	p o uː k
bóka	p o uː k a
bókstafur	p o uː k s t aː v ʏ r
bóla	p o uː l a
bólgna	p o u l n a
bólivía	p o uː l ɪ v iː j a
bólstraberg	p o u l s t r a p ɛ r k
bómull	p o uː m ʏ t l
bón	p o uː n
bónus	p o uː n ʏ s
bót	p o uː t
böl	p œː l
börkur	p œ r̥ k ʏ r
börn	p œ r t n
búfé	p uː f j ɛː
búi	p uː ɪ
búlgarska	p u l k a r̥ s k a
búnaður	p uː n aː ð ʏ r
búr	p uː r
búri	p uː r ɪ
búð	p uː ð
bý	p iː
býfluga	p iː f l ʏː ɣ a
býr	p iː r̥
dafna	t a p n a
dagatal	t aː ɣ a tʰ aː l
dagbók	t a ɣ p o uː k
daglega	t a ɣ l ɛː ɣ a
dagsetning	t a x s ɛ h t n i ŋ k
dagskrá	t a x s k r a uː
dagur	t aː ɣ ʏ r
dani	t aː n ɪ
danmörk	t a n m œ r̥ k
dans	t a n s
dansa	t a n s a
danska	t a n s k a
danskur	t a n s k ʏ r
daníel	t aː n i j ɛː l
dauðadómur	t ø yː ð a t o uː m ʏ r
dauðarefsing	t ø yː ð a r ɛ f s i ŋ k
dauði	t ø yː ð ɪ
davíð	t aː v iː ð
deig	t e iː ɣ
deila	t e iː l a
deild	t e i l t
deiling	t e iː l i ŋ k
deita	t e iː t a
dekkja	t ɛ h c a
demba	t ɛ m p a
depill	t ɛː p ɪ t l
dey	t e iː
deyfa	t e iː v a
deyja	t e iː j a
diljá	t ɪ l j a uː
dimma	t ɪ mː a
diskótek	t ɪ s k o uː tʰ ɛː k
dissa	t ɪ sː a
djákni	t j a u h k n ɪ
djók	t j o uː k
djóka	t j o uː k a
djöfull	t j œː v ʏ t l
djúp	t j uː p
djúprista	t j uː p r ɪ s t a
djúpur	t j uː p ʏ r
djús	t j uː s
dofi	t ɔː v ɪ
doktor	t ɔ x t ɔ r
draga	t r aː ɣ a
drama	t r aː m a
draumur	t r ø yː m ʏ r̥
dreif	t r e iː v
dreki	t r ɛː c ɪ
drekkja	t r ɛ h c a
drengur	t r e i ŋ k ʏ r
drepa	t r ɛː p a
dreyma	t r e iː m a
dreymandi	t r e iː m a n t ɪ
drift	t r ɪ f t
drjúgur	t r j uː ʏ r
dropi	t r ɔː p ɪ
drottinn	t r ɔ h t ɪ n
drottna	t r ɔ h t n a
drottning	t r ɔ h t n i ŋ k
drykkja	t r ɪ h c a
drykkjarvatn	t r ɪ h c a r v a h t n
drykkur	t r ɪ h k ʏ r
dráp	t r a uː p
dráttarvél	t r a u h t a r v j ɛː l
drífa	t r iː v a
drýgja	t r iː j a
duga	t ʏː ɣ a
duglegur	t ʏ ɣ l ɛː ɣ ʏ r
dul	t ʏː l
dvelja	t v ɛ l j a
dvergur	t v ɛ r k ʏ r
dvína	t v iː n a
dvöl	t v œː l
dylgjur	t ɪ l c ʏ r
dynja	t ɪ n j a
dyntóttur	t ɪ n̥ t o u h t ʏ r
dynur	t ɪː n ʏ r
dáleiða	t a uː l e iː ð a
dæla	t a iː l a
dæld	t a i l t
dæma	t a iː m a
dæmi	t a iː m ɪ
dís	t iː s
dómari	t o uː m aː r ɪ
dómstóll	t o u m s t o u t l
dómur	t o uː m ʏ r
dóni	t o uː n ɪ
dóná	t o uː n a uː
dósent	t o uː s ɛ n t
dóttir	t o uʰ t ɪ r
dögg	t œ kː
dúr	t uː r
dýfa	t iː v a
dýpi	t iː p ɪ
dýr	t iː r
dýrafræði	t iː r a f r a iː ð ɪ
dýralæknir	t iː r a l a i h k n ɪ r
dýri	t iː r ɪ
dýrka	t i r̥ k a
dýrð	t i r ð
edrú	ɛː t r uː
ef	ɛː v
eff	ɛ fː
efla	ɛ p l a
efli	ɛ p l ɪ
efna	ɛ p n a
efnafræði	ɛ p n a f r a iː ð ɪ
efnahagur	ɛ p n a h aː ɣ ʏ r
efni	ɛ p n ɪ
efnilegur	ɛ p n ɪ l ɛː ɣ ʏ r
efnisyfirlit	ɛ p n ɪ s ɪː v ɪ r l ɪː t
eftirlaun	ɛ f t ɪ r l ø yː n
eftirlit	ɛ f t ɪ r l ɪː t
eftirminnilegur	ɛ f t ɪ r m ɪ nː ɪ l ɛː ɣ ʏ r
eftirmynd	ɛ f t ɪ r m ɪ n t
eftirsókn	ɛ f t ɪ r s o u h k n
egg	ɛ kː
eggjárn	ɛ kː j a u r t n
egyptaland	ɛː c ɪ f t a l a n t
eigandi	e iː ɣ a n t ɪ
eiginkona	e iː j ɪ n kʰ ɔː n a
eiginleiki	e iː j ɪ n l e iː c ɪ
eiginmaður	e iː j ɪ n m aː ð ʏ r
eigur	e iː ɣ ʏ r
eik	e iː k
eilífð	e iː l i v ð
eimskip	e i m s c ɪː p
einar	e iː n a r
einasta	e iː n a s t a
einasti	e iː n a s t ɪ
einelti	e iː n ɛ l̥ t ɪ
einfaldlega	e i n f a l t l ɛː ɣ a
einfaldur	e i n f a l t ʏ r
eingöngu	e i n k ø y ŋ k ʏ
einir	e iː n ɪ r
einkavæðing	e i ŋ k a v a iː ð i ŋ k
einkum	e i n̥ k ʏ m
einlægni	e i n l a i k n ɪ
einn	e i t n
einræði	e i n r a iː ð ɪ
einsemd	e i n s ɛ m t
einstaklingur	e i n s t a k l i ŋ k ʏ r
eintal	e i n tʰ aː l
einustu	e iː n ʏ s t ʏ
einvígi	e i n v iː j ɪ
eir	e iː r
eistland	e i s t l a n t
eitrun	e iː t r ʏ n
eiði	e iː ð ɪ
eiður	e iː ð ʏ r
ekkert	ɛ h c ɛ r̥ t
ekkill	ɛ h c ɪ t l
ekkja	ɛ h c a
ekta	ɛ x t a
el	ɛː l
elda	ɛ l t a
eldast	ɛ l t a s t
eldfimur	ɛ l t f ɪː m ʏ r
eldgos	ɛ l t k ɔː s
eldhús	ɛ l t h uː s
elding	ɛ l t i ŋ k
eldjárn	ɛ l t j a u r t n
eldpipar	ɛ l t p ɪː p a r
eldsneyti	ɛ l t s n e iː t ɪ
eldstæði	ɛ l t s t a iː ð ɪ
eldur	ɛ l t ʏ r
elfa	ɛ l v a
ella	ɛ t l a
ellefu	ɛ t l ɛ v ʏ
elta	ɛ l̥ t a
elí	ɛː l iː
elías	ɛː l iː j a s
embætti	ɛ m p a i h t ɪ
enda	ɛ n t a
endastöð	ɛ n t a s t œː ð
endi	ɛ n t ɪ
endir	ɛ n t ɪ r
endur	ɛ n t ʏ r
endurlífgun	ɛ n t ʏ r l i v k ʏ n
endurskoðandi	ɛ n t ʏ r s k ɔː ð a n t ɪ
endurtaka	ɛ n t ʏ r tʰ aː k a
endurvekja	ɛ n t ʏ r v ɛː c a
engi	e i ɲ c ɪ
engill	e i ɲ c ɪ t l
enginn	e i ŋ c ɪ nː
england	e i ŋ l a n t
enni	ɛ nː ɪ
enska	ɛ n s k a
enskur	ɛ n s k ʏ r
erfingi	ɛ r v i ɲ c ɪ
erfiða	ɛ r v ɪː ð a
erfðamengi	ɛ r v ð a m e i ɲ c ɪ
erindi	ɛː r ɪ n t ɪ
erla	ɛ r t l a
ermi	ɛ r m ɪ
ernir	ɛ r t n ɪ r
eruð	ɛː r ʏ ð
es	ɛː s
eta	ɛː t a
etja	ɛː t j a
eva	ɛː v a
evra	ɛ v r a
eydís	e iː t iː s
eygja	e iː j a
eyja	e iː j a
eyjafjallajökull	e iː j a f j a t l a j œː k ʏ t l
eykt	e i x t
eymsli	e i m s t l ɪ
eymundur	e iː m ʏ n t ʏ r
eyrún	e iː r u n
eystra	e i s t r a
eyða	e iː ð a
eyðilegging	e iː ð ɪ l ɛ cː i ŋ k
eyðni	e i ð n ɪ
eyðsla	e i ð s t l a
eð	ɛː ð
eða	ɛː ð a
eðlilega	ɛ ð l ɪ l ɛː ɣ a
eðlisfræði	ɛ ð l ɪ s f r a iː ð ɪ
faggi	f a cː ɪ
fagur	f aː ɣ ʏ r
fagurfræði	f aː ɣ ʏ r f r a iː ð ɪ
falda	f a l t a
fall	f a t l
falla	f a t l a
fallegur	f a t l ɛː ɣ ʏ r
fanga	f a u ŋ k a
fangelsi	f a u ŋ c ɛ l s ɪ
fangi	f a u ɲ c ɪ
far	f aː r
fara	f aː r a
faraldur	f aː r a l t ʏ r
farlama	f a r l a m a
farsi	f a r̥ s ɪ
fastanefnd	f a s t a n ɛ m t
fastur	f a s t ʏ r
fata	f aː t a
faðir	f aː ð ɪ r
