あい	a̠ i
あいかわらず	a̠ i k a̠ ɰᵝ a̠ ɾ a̠ z ɨᵝ
あいこくしゃ	a̠ i k o̞ k ɯ̟ᵝ ɕ a̠
あいじん	a̠ i ʑ ĩ ɴ
あいぞうばん	a̠ i z o̞ː b ã̠ ɴ
あいだ	a̠ i d a̠
あいにく	a̠ i ɲ̟ i k ɯ̟ᵝ
あいぶ	a̠ i b ɯ̟ᵝ
あおざめ	a̠ o̞ z a̠ m e̞
あおせん	a̠ o̞ s ẽ̞ ɴ
あおば	a̠ o̞ b a̠
あおもりけん	a̠ o̞ m o̞ ɾʲ i k ẽ̞ ɴ
あかぎつね	a̠ k a̠ ɡʲ i t͡s ɨᵝ n e̞
あかぐろい	a̠ k a̠ ɡ ɯ̟ᵝ ɾ o̞ i
あかし	a̠ k a̠ ɕ i
あかす	a̠ k a̠ s ɨᵝ
あかずきん	a̠ k a̠ z ɨᵝ kʲ ĩ ɴ
あかちゃける	a̠ k a̠ t͡ɕ a̠ k e̞ ɾ ɯ̟ᵝ
あかちゃん	a̠ k a̠ t͡ɕ ã̠ ɴ
あかはな	a̠ k a̠ h a̠ n a̠
あかはら	a̠ k a̠ h a̠ ɾ a̠
あかふじ	a̠ k a̠ ɸ ɯ̟ᵝ ʑ i
あかぼし	a̠ k a̠ b o̞ ɕ i
あかり	a̠ k a̠ ɾʲ i
あかるい	a̠ k a̠ ɾ ɯ̟ᵝ i
あかんぼう	a̠ k ã̠ m b o̞ː
あがる	a̠ ɡ a̠ ɾ ɯ̟ᵝ
あき	a̠ kʲ i
あきす	a̠ kʲ i s ɨᵝ
あきなう	a̠ kʲ i n a̠ ɯ̟ᵝ
あきらか	a̠ kʲ i ɾ a̠ k a̠
あきらめる	a̠ kʲ i ɾ a̠ m e̞ ɾ ɯ̟ᵝ
あくじき	a̠ k ɯ̟ᵝ ʑ i kʲ i
あくみょうだかい	a̠ k ɯ̟ᵝ mʲ o̞ː d a̠ k a̠ i
あくめ	a̠ k ɯ̟ᵝ m e̞
あくろ	a̠ k ɯ̟ᵝ ɾ o̞
あぐり	a̠ ɡ ɯ̟ᵝ ɾʲ i
あけぐれ	a̠ k e̞ ɡ ɯ̟ᵝ ɾ e̞
あけぼの	a̠ k e̞ b o̞ n o̞
