a còng	ʔ aː ˧˧ k a w ŋ͡m ˨˩
a phú hãn	ʔ aː ˧˧ f u ˧˦ h aː n ˦˥
ambrôsiô	ʔ aː m ˧˧ ʔ ɓ ɹ o ˧˧ s i ˧˧ ʔ o ˧˧
an lạc	ʔ aː n ˧˧ l aː k̚ ˧˨ ʔ
an toàn	ʔ aː n ˧˧ t w aː n ˨˩
an táng	ʔ aː n ˧˧ t aː ŋ ˧˦
an tử	ʔ aː n ˧˧ t ɨ ˧˩
anh chồng	ʔ a j ŋ̟ ˧˧ t͡ɕ ə w ŋ͡m ˨˩
anh trai	ʔ a j ŋ̟ ˧˧ t͡ɕ aː j ˧˧
anh đào	ʔ a j ŋ̟ ˧˧ ʔ ɗ aː w ˨˩
asen	ʔ aː ˧˧ s ɛ n ˧˧
augustinô	ʔ a w ˧˧ ɣ u ˧˧ s t i n ˧˧ n o ˧˧
axit sunfurơ	ʔ aː ˧˧ s i t̚ ˧˧ s u n ˧˧ f u ˧˧ ɹ əː ˧˧
ba	ʔ ɓ aː ˧˧
ba bảy hai mốt ngày	ʔ ɓ aː ˧˧ ʔ ɓ a j ˧˩ h aː j ˧˧ m o t̚ ˧˦ ŋ a j ˨˩
ba gai	ʔ ɓ aː ˧˧ ɣ aː j ˧˧
ba lan	ʔ ɓ aː ˧˧ l aː n ˧˧
ba lê	ʔ ɓ aː ˧˧ l e ˧˧
ba lô	ʔ ɓ aː ˧˧ l o ˧˧
ba mươi sáu kế	ʔ ɓ aː ˧˧ m ɨ ə j ˧˧ s a w ˧˦ k e ˧˦
ba que	ʔ ɓ aː ˧˧ k w ɛ ˧˧
ba que xỏ lá	ʔ ɓ aː ˧˧ k w ɛ ˧˧ s ɔ ˧˩ l aː ˧˦
ba tây	ʔ ɓ aː ˧˧ t ə j ˧˧
ban đêm	ʔ ɓ aː n ˧˧ ʔ ɗ e m ˧˧
ban đầu	ʔ ɓ aː n ˧˧ ʔ ɗ ə w ˨˩
bang	ʔ ɓ aː ŋ ˧˧
bao báp	ʔ ɓ aː w ˧˧ ʔ ɓ aː p̚ ˧˦
bao cao su	ʔ ɓ aː w ˧˧ k aː w ˧˧ s u ˧˧
bao dương vật	ʔ ɓ aː w ˧˧ z ɨ ə ŋ ˧˧ v ə t̚ ˧˨ ʔ
bao lâu	ʔ ɓ aː w ˧˧ l ə w ˧˧
bao vây	ʔ ɓ aː w ˧˧ v ə j ˧˧
batôlômêô	ʔ ɓ aː ˧˧ t o ˧˧ l o ˧˧ m e ˧˧ ʔ o ˧˧
bay	ʔ ɓ a j ˧˧
be	ʔ ɓ ɛ ˧˧
beo	ʔ ɓ ɛ w ˧˧
beri	ʔ ɓ ɛ ˧˧ ɹ i ˧˧
bi	ʔ ɓ i ˧˧
bi kịch	ʔ ɓ i ˧˧ k ï k̟̚ ˧˨ ʔ
biên kịch	ʔ ɓ i ə n ˧˧ k ï k̟̚ ˧˨ ʔ
biên niên sử	ʔ ɓ i ə n ˧˧ n i ə n ˧˧ s ɨ ˧˩
biên xích	ʔ ɓ i ə n ˧˧ s ï k̟̚ ˧˦
biếc	ʔ ɓ i ə k̚ ˧˦
biến loạn	ʔ ɓ i ə n ˧˦ l w aː n ˧˨ ʔ
biến mất	ʔ ɓ i ə n ˧˦ m ə t̚ ˧˦
biến tấu	ʔ ɓ i ə n ˧˦ t ə w ˧˦
biết bao	ʔ ɓ i ə t̚ ˧˦ ʔ ɓ aː w ˧˧
biền	ʔ ɓ i ə n ˨˩
biển	ʔ ɓ i ə n ˧˩
biển cả	ʔ ɓ i ə n ˧˩ k aː ˧˩
biển đen	ʔ ɓ i ə n ˧˩ ʔ ɗ ɛ n ˧˧
biểu	ʔ ɓ i ə w ˧˩
biểu diễn	ʔ ɓ i ə w ˧˩ z i ə n ˦˥
biểu hiện	ʔ ɓ i ə w ˧˩ h i ə n ˧˨ ʔ
biện	ʔ ɓ i ə n ˧˨ ʔ
biện chứng duy vật	ʔ ɓ i ə n ˧˨ ʔ t͡ɕ ɨ ŋ ˧˦ z w i ˧˧ v ə t̚ ˧˨ ʔ
biệt danh	ʔ ɓ i ə t̚ ˧˨ ʔ z a j ŋ̟ ˧˧
biệt lập	ʔ ɓ i ə t̚ ˧˨ ʔ l ə p̚ ˧˨ ʔ
biệt thự	ʔ ɓ i ə t̚ ˧˨ ʔ tʰ ɨ ˧˨ ʔ
blu	ʔ ɓ l u ˧˧
boa	ʔ ɓ w aː ˧˧
bu	ʔ ɓ u ˧˧
buôn dưa lê	ʔ ɓ u ə n ˧˧ z ɨ ə ˧˧ l e ˧˧
buồn	ʔ ɓ u ə n ˨˩
buồn bã	ʔ ɓ u ə n ˨˩ ʔ ɓ aː ˦˥
buồn rầu	ʔ ɓ u ə n ˨˩ z ə w ˨˩
buồng trứng	ʔ ɓ u ə ŋ ˨˩ t͡ɕ ɨ ŋ ˧˦
buồng tắm	ʔ ɓ u ə ŋ ˨˩ t a m ˧˦
buột	ʔ ɓ u ə t̚ ˧˨ ʔ
buột miệng	ʔ ɓ u ə t̚ ˧˨ ʔ m i ə ŋ ˧˨ ʔ
bà con	ʔ ɓ aː ˨˩ k ɔ n ˧˧
bài thơ	ʔ ɓ aː j ˨˩ tʰ əː ˧˧
bàn cãi	ʔ ɓ aː n ˨˩ k aː j ˦˥
bàn ủi	ʔ ɓ aː n ˨˩ ʔ u j ˧˩
bàng hoàng	ʔ ɓ aː ŋ ˨˩ h w aː ŋ ˨˩
bàng quang	ʔ ɓ aː ŋ ˨˩ k w aː ŋ ˧˧
bành	ʔ ɓ a j ŋ̟ ˨˩
bào	ʔ ɓ aː w ˨˩
bày	ʔ ɓ a j ˨˩
bá láp	ʔ ɓ aː ˧˦ l aː p̚ ˧˦
bá quan	ʔ ɓ aː ˧˦ k w aː n ˧˧
bá tước	ʔ ɓ aː ˧˦ t ɨ ə k̚ ˧˦
bác học	ʔ ɓ aː k̚ ˧˦ h a w k͡p̚ ˧˨ ʔ
bác sĩ nhi	ʔ ɓ aː k̚ ˧˦ s i ˦˥ ɲ i ˧˧
bác vật quán	ʔ ɓ aː k̚ ˧˦ v ə t̚ ˧˨ ʔ k w aː n ˧˦
bách khoa toàn thư	ʔ ɓ a j k̟̚ ˧˦ x w aː ˧˧ t w aː n ˨˩ tʰ ɨ ˧˧
bách thú	ʔ ɓ a j k̟̚ ˧˦ tʰ u ˧˦
bán chạy	ʔ ɓ aː n ˧˦ t͡ɕ a j ˧˨ ʔ
bán kính	ʔ ɓ aː n ˧˦ k ï ŋ ˧˦
bán kết	ʔ ɓ aː n ˧˦ k e t̚ ˧˦
bán trú	ʔ ɓ aː n ˧˦ t͡ɕ u ˧˦
bán đảo	ʔ ɓ aː n ˧˦ ʔ ɗ aː w ˧˩
bánh bao	ʔ ɓ a j ŋ̟ ˧˦ ʔ ɓ aː w ˧˧
bánh bá trạng	ʔ ɓ a j ŋ̟ ˧˦ ʔ ɓ aː ˧˦ t͡ɕ aː ŋ ˧˨ ʔ
